,time,open,high,low,close,tick_volume,spread,real_volume
0,2021-06-08 03:20:00,0.85965,0.85981,0.85961,0.85962,54,22,0
1,2021-06-08 03:25:00,0.85963,0.85979,0.85963,0.85978,83,23,0
2,2021-06-08 03:30:00,0.85979,0.85994,0.85979,0.85986,62,18,0
3,2021-06-08 03:35:00,0.85986,0.85993,0.85985,0.85988,48,23,0
4,2021-06-08 03:40:00,0.85988,0.85999,0.85988,0.85994,55,23,0
5,2021-06-08 03:45:00,0.85995,0.86001,0.85993,0.85997,47,23,0
6,2021-06-08 03:50:00,0.85996,0.85997,0.85984,0.85985,73,24,0
7,2021-06-08 03:55:00,0.85985,0.85997,0.85984,0.85988,80,23,0
8,2021-06-08 04:00:00,0.85989,0.85994,0.85978,0.85989,144,22,0
9,2021-06-08 04:05:00,0.85989,0.85993,0.85978,0.85984,78,23,0
10,2021-06-08 04:10:00,0.85984,0.85991,0.85984,0.85986,39,23,0
11,2021-06-08 04:15:00,0.85986,0.85991,0.85986,0.85987,39,22,0
12,2021-06-08 04:20:00,0.85987,0.85996,0.85987,0.85992,47,22,0
13,2021-06-08 04:25:00,0.85992,0.85996,0.85983,0.85983,48,22,0
14,2021-06-08 04:30:00,0.85983,0.85992,0.85975,0.85992,95,22,0
15,2021-06-08 04:35:00,0.85991,0.85996,0.85989,0.85994,61,23,0
16,2021-06-08 04:40:00,0.85994,0.86001,0.85989,0.85993,58,22,0
17,2021-06-08 04:45:00,0.85992,0.86004,0.85989,0.86001,61,22,0
18,2021-06-08 04:50:00,0.85999,0.86007,0.85995,0.85998,85,22,0
19,2021-06-08 04:55:00,0.85998,0.86005,0.85997,0.86001,78,23,0
20,2021-06-08 05:00:00,0.86002,0.86005,0.85998,0.85998,78,22,0
21,2021-06-08 05:05:00,0.85998,0.86002,0.85987,0.85987,85,21,0
22,2021-06-08 05:10:00,0.85984,0.85991,0.85982,0.85988,56,21,0
23,2021-06-08 05:15:00,0.85987,0.85992,0.85985,0.85989,47,22,0
24,2021-06-08 05:20:00,0.85989,0.85992,0.85982,0.85991,82,22,0
