time,open,high,low,close,tick_volume,spread,real_volume
2019-07-19,1.25448,1.25558,1.24768,1.24966,92261.0,11.0,0.0
2019-07-22,1.24845,1.25169,1.2454399999999999,1.24729,86581.0,12.0,0.0
2019-07-23,1.24736,1.24809,1.24167,1.24376,96165.0,11.0,0.0
2019-07-24,1.24359,1.2521200000000001,1.2426,1.24829,91058.0,11.0,0.0
2019-07-25,1.2483,1.25175,1.2436099999999999,1.24495,93840.0,11.0,0.0
2019-07-26,1.24458,1.24591,1.2375099999999999,1.23785,88235.0,11.0,0.0
2019-07-29,1.23745,1.23825,1.22107,1.22152,82772.0,11.0,0.0
2019-07-30,1.22162,1.22252,1.21179,1.21477,97870.0,12.0,0.0
2019-07-31,1.21477,1.22484,1.21336,1.21539,96149.0,11.0,0.0
2019-08-01,1.21555,1.21691,1.20787,1.21238,109215.0,11.0,0.0
2019-08-02,1.21265,1.21685,1.20895,1.21561,108842.0,12.0,0.0
2019-08-05,1.2156,1.21875,1.21005,1.21385,42085.0,11.0,0.0
2019-08-06,1.21365,1.22085,1.2134800000000001,1.21645,35584.0,11.0,0.0
2019-08-07,1.21645,1.219,1.21205,1.21378,42345.0,11.0,0.0
2019-08-08,1.21381,1.21816,1.20945,1.21305,36438.0,11.0,0.0
2019-08-09,1.21238,1.21465,1.20201,1.20206,24513.0,12.0,0.0
2019-08-12,1.20457,1.21066,1.2014,1.20746,15618.0,12.0,0.0
2019-08-13,1.20756,1.20976,1.20416,1.20586,18402.0,11.0,0.0
2019-08-14,1.2053,1.21001,1.20445,1.20525,38246.0,11.0,0.0
2019-08-15,1.20545,1.21502,1.20505,1.20859,32022.0,11.0,0.0
2019-08-16,1.20777,1.2174800000000001,1.20724,1.21423,31266.0,11.0,0.0
2019-08-19,1.21549,1.21722,1.21046,1.21247,28132.0,10.0,0.0
2019-08-20,1.21247,1.2178499999999999,1.20635,1.21638,29667.0,11.0,0.0
2019-08-21,1.21637,1.2174800000000001,1.21116,1.21206,24682.0,11.0,0.0
2019-08-22,1.21227,1.2273100000000001,1.21079,1.22501,36898.0,11.0,0.0
2019-08-23,1.22472,1.22933,1.21942,1.22821,57857.0,12.0,0.0
2019-08-26,1.2263600000000001,1.22849,1.22076,1.22152,64384.0,12.0,0.0
2019-08-27,1.2216,1.23081,1.22086,1.22865,60237.0,11.0,0.0
2019-08-28,1.22874,1.22904,1.21571,1.22081,53613.0,12.0,0.0
2019-08-29,1.22067,1.22319,1.21719,1.2178200000000001,60090.0,12.0,0.0
2019-08-30,1.21783,1.22249,1.21389,1.21597,58283.0,12.0,0.0
2019-09-02,1.21519,1.21743,1.20355,1.20635,53747.0,12.0,0.0
2019-09-03,1.20605,1.21054,1.19574,1.20797,79081.0,11.0,0.0
2019-09-04,1.20877,1.22561,1.20803,1.22487,58684.0,11.0,0.0
2019-09-05,1.22446,1.23532,1.22096,1.2324,92850.0,23.0,0.0
2019-09-06,1.2325599999999999,1.23433,1.22787,1.22847,71791.0,23.0,0.0
2019-09-09,1.22668,1.23852,1.22327,1.23398,79841.0,23.0,0.0
2019-09-10,1.23442,1.2379,1.23058,1.23482,71261.0,23.0,0.0
2019-09-11,1.2346,1.23705,1.23119,1.23214,75751.0,23.0,0.0
2019-09-12,1.23211,1.23659,1.22823,1.23257,86351.0,23.0,0.0
2019-09-13,1.2325,1.25049,1.2325,1.24969,75200.0,6.0,0.0
2019-09-16,1.24826,1.25027,1.23987,1.24199,75910.0,23.0,0.0
2019-09-17,1.24228,1.2527,1.23915,1.24957,65268.0,23.0,0.0
2019-09-18,1.24977,1.25113,1.24381,1.2465600000000001,67039.0,23.0,0.0
2019-09-19,1.24701,1.25601,1.24372,1.2518099999999999,69841.0,18.0,0.0
2019-09-20,1.25223,1.2582200000000001,1.24581,1.24688,73324.0,21.0,0.0
2019-09-23,1.24622,1.24899,1.24118,1.2422900000000001,64392.0,23.0,0.0
2019-09-24,1.24278,1.25026,1.24132,1.24846,65047.0,23.0,0.0
2019-09-25,1.24854,1.24948,1.2343600000000001,1.2343600000000001,65376.0,11.0,0.0
2019-09-26,1.23446,1.23796,1.23023,1.23187,46385.0,11.0,0.0
2019-09-27,1.23207,1.23356,1.22706,1.22836,41037.0,11.0,0.0
2019-09-30,1.22886,1.23449,1.22751,1.22896,43013.0,11.0,0.0
2019-10-01,1.22876,1.23385,1.22054,1.23028,56448.0,11.0,0.0
2019-10-02,1.22987,1.23231,1.22267,1.22947,39242.0,11.0,0.0
2019-10-03,1.22957,1.2413,1.22653,1.23283,50995.0,11.0,0.0
2019-10-04,1.23268,1.23568,1.22757,1.23308,48730.0,6.0,0.0
2019-10-07,1.23048,1.23365,1.22867,1.22906,39805.0,11.0,0.0
2019-10-08,1.22893,1.2302,1.21944,1.22157,55000.0,11.0,0.0
2019-10-09,1.2217500000000001,1.22856,1.21975,1.22041,54850.0,11.0,0.0
2019-10-10,1.22041,1.24693,1.22005,1.24373,69511.0,11.0,0.0
