time,open,high,low,close,tick_volume,spread,real_volume
2019-07-19,120.983,121.279,120.793,120.855,94208.0,18.0,0.0
2019-07-22,120.823,121.163,120.793,120.898,85222.0,18.0,0.0
2019-07-23,120.898,121.09,120.494,120.678,81644.0,18.0,0.0
2019-07-24,120.673,120.708,120.206,120.508,79948.0,18.0,0.0
2019-07-25,120.512,121.374,120.05,121.086,92672.0,18.0,0.0
2019-07-26,121.086,121.196,120.796,120.851,78867.0,18.0,0.0
2019-07-29,120.82,121.303,120.734,121.236,59639.0,18.0,0.0
2019-07-30,121.237,121.379,120.884,121.116,85230.0,18.0,0.0
2019-07-31,121.116,121.19,120.35,120.457,91332.0,18.0,0.0
2019-08-01,120.458,120.709,118.915,118.98,107624.0,18.0,0.0
2019-08-02,118.994,119.115,118.259,118.333,128317.0,18.0,0.0
2019-08-05,118.334,118.931,117.674,118.687,139693.0,18.0,0.0
2019-08-06,118.684,119.868,118.369,119.206,129280.0,18.0,0.0
2019-08-07,119.205,119.279,118.439,118.995,122493.0,18.0,0.0
2019-08-08,118.997,119.16,118.492,118.585,111082.0,18.0,0.0
2019-08-09,118.585,118.738,118.085,118.352,104994.0,18.0,0.0
2019-08-12,118.19,118.402,117.516,118.077,60184.0,18.0,0.0
2019-08-13,118.043,119.564,117.688,119.239,124786.0,18.0,0.0
2019-08-14,119.237,119.277,117.783,117.956,111645.0,18.0,0.0
2019-08-15,117.957,118.959,117.629,117.852,120067.0,18.0,0.0
2019-08-16,117.824,118.164,117.581,117.924,93402.0,18.0,0.0
2019-08-19,117.827,118.475,117.822,118.121,75815.0,14.0,0.0
2019-08-20,118.098,118.268,117.581,117.901,87268.0,18.0,0.0
2019-08-21,117.882,118.332,117.872,118.179,75984.0,18.0,0.0
2019-08-22,118.173,118.301,117.73,117.901,84886.0,18.0,0.0
2019-08-23,117.9,118.127,117.265,117.323,116335.0,18.0,0.0
2019-08-26,117.062,118.188,116.562,117.763,154946.0,19.0,0.0
2019-08-27,117.758,117.839,117.214,117.254,115878.0,18.0,0.0
2019-08-28,117.25,117.675,117.105,117.547,101500.0,18.0,0.0
2019-08-29,117.537,117.927,117.279,117.764,106270.0,18.0,0.0
2019-08-30,117.765,117.818,116.624,116.728,111425.0,12.0,0.0
2019-09-02,116.545,116.776,116.347,116.474,79901.0,18.0,0.0
2019-09-03,116.474,116.542,115.863,116.199,108749.0,18.0,0.0
2019-09-04,116.162,117.428,116.129,117.367,93428.0,18.0,0.0
2019-09-05,117.407,118.615,117.276,117.969,148534.0,21.0,0.0
2019-09-06,117.988,118.267,117.81,117.871,128361.0,21.0,0.0
2019-09-09,117.801,118.51,117.738,118.452,98695.0,21.0,0.0
2019-09-10,118.464,118.776,118.272,118.747,110176.0,21.0,0.0
2019-09-11,118.751,119.173,118.299,118.699,103795.0,21.0,0.0
2019-09-12,118.711,119.819,117.55,119.53,149237.0,21.0,0.0
2019-09-13,119.562,120.01,119.537,119.686,111794.0,6.0,0.0
2019-09-16,118.989,119.508,118.681,118.917,129753.0,21.0,0.0
2019-09-17,118.972,119.772,118.869,119.702,115350.0,21.0,0.0
2019-09-18,119.674,119.824,119.408,119.602,110319.0,21.0,0.0
2019-09-19,119.607,119.655,118.951,119.235,118662.0,14.0,0.0
2019-09-20,119.251,119.378,118.448,118.506,111470.0,18.0,0.0
2019-09-23,118.64,118.788,117.749,118.188,116052.0,21.0,0.0
2019-09-24,118.202,118.558,117.884,117.943,135357.0,21.0,0.0
2019-09-25,117.965,118.193,117.787,117.91,127027.0,7.0,0.0
2019-09-26,117.893,118.05,117.517,117.743,94987.0,18.0,0.0
2019-09-27,117.73,118.473,117.447,118.039,97482.0,12.0,0.0
2019-09-30,118.135,118.176,117.541,117.775,91285.0,6.0,0.0
2019-10-01,117.772,118.169,117.677,117.738,101462.0,18.0,0.0
2019-10-02,117.735,118.002,117.324,117.451,109614.0,18.0,0.0
2019-10-03,117.443,117.649,117.079,117.199,117362.0,18.0,0.0
